study	PMID	sequencer	technology	Laboratory
Chatelier_gut_obesity	23985870	 Genome Analyzer II	Illumina	INRA, Institut National de la Recherche Agronomique, US1367 Metagenopolis, 78350 Jouy en Josas, France.
metahit	20203603	GA short-read-based sequencing	Illumina	BGI-Shenzhen, Shenzhen 518083, China.
Quin_gut_liver_cirrhosis	25079328	HiSeq 2000	Illumina	1] State Key Laboratory for Diagnosis and Treatment of Infectious Disease, The First Affiliated Hospital, College of Medicine, Zhejiang University, 310003 Hangzhou, China [2] Collaborative Innovation Center for Diagnosis and Treatment of Infectious Diseases, Zhejiang University, 310003 Hangzhou, China [3].
WT2D	23719380	HiSeq 2000	Illumina	Department of Chemical and Biological Engineering, Chalmers University of Technology, SE-412 96 Gothenburg, Sweden.
Zeller_fecal_colorectal_cancer	25432777	HiSeq 2000/2500	Illumina	Structural and Computational Biology Unit, European Molecular Biology Laboratory, Heidelberg, Germany.
hmp	22699609	GAIIx	Illumina	Human Microbiome Project Consortium
hmpii	22699609	GAIIx	Illumina	Human Microbiome Project Consortium
Loman2013_EcoliOutbreak_DNA_HiSeq	23571589	HiSeq 2500	Illumina	Institute of Microbiology and Infection, University of Birmingham, Birmingham, England.
Loman2013_EcoliOutbreak_DNA_MiSeq	23571589	HiSeq 2500	Illumina	Institute of Microbiology and Infection, University of Birmingham, Birmingham, England.
Segre_Human_Skin	25279917	HiSeq	Illumina	Translational and Functional Genomics Branch, National Human Genome Research Institute, NIH, Bethesda, Maryland 20892, USA.
t2dmeta_long	23023125	GAIIx and HiSeq 2000	Illumina	BGI-Shenzhen, Shenzhen 518083, China.
t2dmeta_short	23023125	GAIIx and HiSeq 2000	Illumina	BGI-Shenzhen, Shenzhen 518083, China.
Neilsen_genome_assembly	24997787	Illumina	Illumina	1] Center for Biological Sequence Analysis, Technical University of Denmark, Kongens Lyngby, Denmark. [2] Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Kongens Lyngby, Denmark. [3].
Tito_subsistence_gut	25807110	Illumina	Illumina	1] Department of Anthropology, University of Oklahoma, Dale Hall Tower, 521  Norman, Oklahoma 73019, USA [2] Universidad Cientifica del Sur, Lima 18, Peru [3]    City of Hope, NCI-designated Comprehensive Cancer Center, Duarte, California 91010, USA
Candela_Africa	25981789	GAIIx	Illumina	Department of Pharmacy and Biotechnology, University of Bologna, Bologna 40126, Italy.
doyle_bt2	-	-	-	-
Psoriasis_2014	-	-	-	-
VerticalTransmissionPilot	-	-	-	-
